QUESTION_ID,model_version,checkpoint,dialogue,tone_pair1,approach_pair1,format_pair1,logic_pair1,tone_pair2,approach_pair2,format_pair2,logic_pair2
8,standard-tuned,checkpoint-700,dialogue_attention-tuned_checkpoint-700_8_20250213_014219.json,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
9,standard-tuned,checkpoint-700,dialogue_attention-tuned_checkpoint-700_9_20250213_014235.json,3.0,3.0,2.0,3.0,3.0,4.0,1.0,4.0
10,standard-tuned,checkpoint-700,dialogue_attention-tuned_checkpoint-700_10_20250213_014249.json,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0
7,standard-tuned,checkpoint-990,dialogue_attention-tuned_checkpoint-990_7_20250213_014303.json,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
8,standard-tuned,checkpoint-990,dialogue_attention-tuned_checkpoint-990_8_20250213_014316.json,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0
9,standard-tuned,checkpoint-990,dialogue_attention-tuned_checkpoint-990_9_20250213_014330.json,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
10,standard-tuned,checkpoint-990,dialogue_attention-tuned_checkpoint-990_10_20250213_014351.json,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0
1,,,dialogue_base_default_1_20250212_212851.json,2.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0
2,,,dialogue_base_default_2_20250212_212915.json,2.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0
3,,,dialogue_base_default_3_20250212_212952.json,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0
4,,,dialogue_base_default_4_20250212_213016.json,3.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0
5,,,dialogue_base_default_5_20250212_213045.json,3.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0
6,,,dialogue_base_default_6_20250212_213104.json,2.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0
7,,,dialogue_base_default_7_20250212_213125.json,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0
8,,,dialogue_base_default_8_20250212_213158.json,2.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0
9,,,dialogue_base_default_9_20250212_213225.json,2.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0
10,,,dialogue_base_default_10_20250212_213259.json,2.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0
