
Checking checkpoint status...
2025-02-04 18:06:47,816 - WARNING - Checkpoint directory exists but no checkpoints found.
2025-02-04 18:06:47,816 - INFO - Continuing with training...
{'loss': 5.2168, 'grad_norm': 22.839014053344727, 'learning_rate': 5.050505050505051e-06, 'epoch': 0.08}
{'loss': 1.9598, 'grad_norm': 1.4455305337905884, 'learning_rate': 0.00011111111111111112, 'epoch': 1.66}
{'loss': 1.9004, 'grad_norm': 1.5766876935958862, 'learning_rate': 0.00011616161616161616, 'epoch': 1.73}
{'loss': 1.9107, 'grad_norm': 1.5038244724273682, 'learning_rate': 0.00012121212121212122, 'epoch': 1.81}
{'loss': 1.9101, 'grad_norm': 1.417208194732666, 'learning_rate': 0.00012626262626262626, 'epoch': 1.88}
{'loss': 1.9035, 'grad_norm': 1.6603326797485352, 'learning_rate': 0.00013131313131313133, 'epoch': 1.96}
{'loss': 1.8639, 'grad_norm': 1.484291434288025, 'learning_rate': 0.00013636363636363637, 'epoch': 2.03}
{'loss': 1.8449, 'grad_norm': 1.642360806465149, 'learning_rate': 0.0001414141414141414, 'epoch': 2.11}
{'loss': 1.824, 'grad_norm': 1.4533944129943848, 'learning_rate': 0.00014646464646464648, 'epoch': 2.18}
{'loss': 1.8179, 'grad_norm': 1.6784119606018066, 'learning_rate': 0.00015151515151515152, 'epoch': 2.26}
{'eval_loss': 13.170650482177734, 'eval_perplexity': 524735.9375, 'eval_runtime': 21.196, 'eval_samples_per_second': 2.359, 'eval_steps_per_second': 1.179, 'epoch': 2.26}
{'loss': 1.7976, 'grad_norm': 1.6347956657409668, 'learning_rate': 0.00015656565656565658, 'epoch': 2.33}
{'loss': 1.7821, 'grad_norm': 1.6964715719223022, 'learning_rate': 0.00016161616161616162, 'epoch': 2.41}
{'loss': 1.8227, 'grad_norm': 1.5327692031860352, 'learning_rate': 0.0001666666666666667, 'epoch': 2.48}
{'loss': 1.8033, 'grad_norm': 1.5612268447875977, 'learning_rate': 0.00017171717171717173, 'epoch': 2.56}
{'loss': 1.7636, 'grad_norm': 1.5614333152770996, 'learning_rate': 0.0001767676767676768, 'epoch': 2.63}
{'loss': 1.7654, 'grad_norm': 1.5273089408874512, 'learning_rate': 0.00018181818181818183, 'epoch': 2.71}
{'loss': 1.7498, 'grad_norm': 1.564075231552124, 'learning_rate': 0.00018686868686868687, 'epoch': 2.79}
{'loss': 1.7611, 'grad_norm': 1.606429934501648, 'learning_rate': 0.00019191919191919191, 'epoch': 2.86}
{'loss': 1.7843, 'grad_norm': 1.498009443283081, 'learning_rate': 0.00019696969696969698, 'epoch': 2.94}
{'loss': 1.787, 'grad_norm': 1.5225976705551147, 'learning_rate': 0.0001999993783958694, 'epoch': 3.01}
{'eval_loss': 13.5222806930542, 'eval_perplexity': 745850.6875, 'eval_runtime': 21.1584, 'eval_samples_per_second': 2.363, 'eval_steps_per_second': 1.182, 'epoch': 3.01}
{'loss': 1.6952, 'grad_norm': 1.5286225080490112, 'learning_rate': 0.0001999923854381492, 'epoch': 3.08}
{'loss': 1.6967, 'grad_norm': 1.5830167531967163, 'learning_rate': 0.0001999776230627102, 'epoch': 3.16}
{'loss': 1.6814, 'grad_norm': 1.6240873336791992, 'learning_rate': 0.00019995509241659036, 'epoch': 3.23}
{'loss': 1.692, 'grad_norm': 1.4719346761703491, 'learning_rate': 0.00019992479525042303, 'epoch': 3.31}
{'loss': 1.6962, 'grad_norm': 1.7587562799453735, 'learning_rate': 0.0001998867339183008, 'epoch': 3.39}
{'loss': 1.6825, 'grad_norm': 1.5243481397628784, 'learning_rate': 0.0001998409113775928, 'epoch': 3.46}
{'loss': 1.6896, 'grad_norm': 1.520776391029358, 'learning_rate': 0.0001997873311887147, 'epoch': 3.54}
{'loss': 1.6489, 'grad_norm': 1.5968056917190552, 'learning_rate': 0.00019972599751485226, 'epoch': 3.61}
{'loss': 1.6712, 'grad_norm': 1.5496097803115845, 'learning_rate': 0.0001996569151216376, 'epoch': 3.69}
{'loss': 1.7027, 'grad_norm': 1.4799628257751465, 'learning_rate': 0.00019958008937677918, 'epoch': 3.76}
{'eval_loss': 13.852898597717285, 'eval_perplexity': 1038095.75, 'eval_runtime': 21.3247, 'eval_samples_per_second': 2.345, 'eval_steps_per_second': 1.172, 'epoch': 3.76}
{'loss': 1.6843, 'grad_norm': 1.5148998498916626, 'learning_rate': 0.0001994955262496446, 'epoch': 3.84}
{'loss': 1.6661, 'grad_norm': 1.496881127357483, 'learning_rate': 0.00019940323231079673, 'epoch': 3.91}
{'loss': 1.6785, 'grad_norm': 1.4307565689086914, 'learning_rate': 0.00019930321473148329, 'epoch': 3.99}
{'loss': 1.6088, 'grad_norm': 1.5402730703353882, 'learning_rate': 0.00019919548128307954, 'epoch': 4.06}
{'loss': 1.5778, 'grad_norm': 1.6345430612564087, 'learning_rate': 0.00019908004033648453, 'epoch': 4.14}
{'loss': 1.5712, 'grad_norm': 1.4982078075408936, 'learning_rate': 0.00019895690086147065, 'epoch': 4.21}
{'loss': 1.5781, 'grad_norm': 1.6446633338928223, 'learning_rate': 0.00019882607242598663, 'epoch': 4.29}
{'loss': 1.5814, 'grad_norm': 1.6156443357467651, 'learning_rate': 0.00019868756519541414, 'epoch': 4.36}
{'loss': 1.5616, 'grad_norm': 1.5146814584732056, 'learning_rate': 0.00019854138993177802, 'epoch': 4.44}
{'loss': 1.5551, 'grad_norm': 1.5744229555130005, 'learning_rate': 0.00019838755799290994, 'epoch': 4.51}
{'eval_loss': 14.314391136169434, 'eval_perplexity': 1646876.625, 'eval_runtime': 21.1027, 'eval_samples_per_second': 2.369, 'eval_steps_per_second': 1.185, 'epoch': 4.51}
{'loss': 1.5903, 'grad_norm': 1.5194836854934692, 'learning_rate': 0.00019822608133156596, 'epoch': 4.59}
{'loss': 1.5586, 'grad_norm': 1.6229186058044434, 'learning_rate': 0.00019805697249449775, 'epoch': 4.66}
{'loss': 1.5602, 'grad_norm': 1.6121000051498413, 'learning_rate': 0.00019788024462147788, 'epoch': 4.74}
{'loss': 1.5771, 'grad_norm': 1.6996076107025146, 'learning_rate': 0.0001976959114442786, 'epoch': 4.82}
{'loss': 1.5323, 'grad_norm': 1.4761484861373901, 'learning_rate': 0.00019750398728560507, 'epoch': 4.89}
{'loss': 1.582, 'grad_norm': 1.5199843645095825, 'learning_rate': 0.00019730448705798239, 'epoch': 4.97}
{'loss': 1.4874, 'grad_norm': 1.49739408493042, 'learning_rate': 0.00019709742626259694, 'epoch': 5.04}
{'loss': 1.4395, 'grad_norm': 1.680090069770813, 'learning_rate': 0.00019688282098809194, 'epoch': 5.11}
{'loss': 1.4243, 'grad_norm': 1.7832558155059814, 'learning_rate': 0.00019666068790931732, 'epoch': 5.19}
{'loss': 1.4645, 'grad_norm': 1.6842732429504395, 'learning_rate': 0.00019643104428603413, 'epoch': 5.26}
{'eval_loss': 14.859990119934082, 'eval_perplexity': 2841919.0, 'eval_runtime': 21.5423, 'eval_samples_per_second': 2.321, 'eval_steps_per_second': 1.161, 'epoch': 5.26}
{'loss': 1.4559, 'grad_norm': 1.6892085075378418, 'learning_rate': 0.00019619390796157338, 'epoch': 5.34}
{'loss': 1.4711, 'grad_norm': 1.6196630001068115, 'learning_rate': 0.00019594929736144976, 'epoch': 5.42}
{'loss': 1.4551, 'grad_norm': 1.7693270444869995, 'learning_rate': 0.00019569723149192979, 'epoch': 5.49}
{'loss': 1.4793, 'grad_norm': 1.8002914190292358, 'learning_rate': 0.00019543772993855512, 'epoch': 5.57}
{'loss': 1.4967, 'grad_norm': 1.7861567735671997, 'learning_rate': 0.0001951708128646208, 'epoch': 5.64}
{'loss': 1.4672, 'grad_norm': 1.7342015504837036, 'learning_rate': 0.00019489650100960851, 'epoch': 5.72}
{'loss': 1.4537, 'grad_norm': 1.7380821704864502, 'learning_rate': 0.00019461481568757506, 'epoch': 5.79}
{'loss': 1.4383, 'grad_norm': 1.610924243927002, 'learning_rate': 0.00019432577878549637, 'epoch': 5.87}
{'loss': 1.4574, 'grad_norm': 1.6132241487503052, 'learning_rate': 0.0001940294127615668, 'epoch': 5.94}
{'loss': 1.4463, 'grad_norm': 1.7069612741470337, 'learning_rate': 0.00019372574064345423, 'epoch': 6.02}
{'eval_loss': 14.95211410522461, 'eval_perplexity': 3116166.5, 'eval_runtime': 21.1108, 'eval_samples_per_second': 2.368, 'eval_steps_per_second': 1.184, 'epoch': 6.02}
{'loss': 1.3361, 'grad_norm': 1.8366446495056152, 'learning_rate': 0.00019341478602651069, 'epoch': 6.09}
{'loss': 1.3049, 'grad_norm': 1.8371222019195557, 'learning_rate': 0.000193096573071939, 'epoch': 6.17}
{'loss': 1.3134, 'grad_norm': 1.8021886348724365, 'learning_rate': 0.0001927711265049156, 'epoch': 6.24}
{'loss': 1.35, 'grad_norm': 1.8930625915527344, 'learning_rate': 0.0001924384716126692, 'epoch': 6.32}
{'loss': 1.3373, 'grad_norm': 1.7265011072158813, 'learning_rate': 0.00019209863424251618, 'epoch': 6.39}
{'loss': 1.3335, 'grad_norm': 1.7620611190795898, 'learning_rate': 0.00019175164079985194, 'epoch': 6.47}
{'loss': 1.3434, 'grad_norm': 1.8286312818527222, 'learning_rate': 0.0001913975182460996, 'epoch': 6.54}
{'loss': 1.3533, 'grad_norm': 1.805310606956482, 'learning_rate': 0.0001910362940966147, 'epoch': 6.62}
{'loss': 1.3998, 'grad_norm': 1.7143528461456299, 'learning_rate': 0.0001906679964185475, 'epoch': 6.69}
{'loss': 1.3489, 'grad_norm': 1.954660177230835, 'learning_rate': 0.00019029265382866214, 'epoch': 6.77}
{'eval_loss': 15.27166748046875, 'eval_perplexity': 4289443.0, 'eval_runtime': 21.3207, 'eval_samples_per_second': 2.345, 'eval_steps_per_second': 1.173, 'epoch': 6.77}
{'loss': 1.3656, 'grad_norm': 1.8549679517745972, 'learning_rate': 0.000189910295491113, 'epoch': 6.85}
{'loss': 1.3615, 'grad_norm': 1.8219515085220337, 'learning_rate': 0.00018952095111517876, 'epoch': 6.92}
{'loss': 1.3687, 'grad_norm': 1.911974310874939, 'learning_rate': 0.00018912465095295388, 'epoch': 7.0}
{'loss': 1.2473, 'grad_norm': 1.9368888139724731, 'learning_rate': 0.00018872142579699818, 'epoch': 7.07}
{'loss': 1.2002, 'grad_norm': 1.9899628162384033, 'learning_rate': 0.00018831130697794397, 'epoch': 7.14}
{'loss': 1.2293, 'grad_norm': 2.297025442123413, 'learning_rate': 0.00018789432636206197, 'epoch': 7.22}
{'loss': 1.2191, 'grad_norm': 2.0685250759124756, 'learning_rate': 0.0001874705163487851, 'epoch': 7.29}
{'loss': 1.2321, 'grad_norm': 2.085296630859375, 'learning_rate': 0.0001870399098681911, 'epoch': 7.37}
{'loss': 1.231, 'grad_norm': 2.1481738090515137, 'learning_rate': 0.00018660254037844388, 'epoch': 7.45}
{'loss': 1.2199, 'grad_norm': 1.9413776397705078, 'learning_rate': 0.00018615844186319378, 'epoch': 7.52}
{'eval_loss': 15.444697380065918, 'eval_perplexity': 5099726.0, 'eval_runtime': 21.581, 'eval_samples_per_second': 2.317, 'eval_steps_per_second': 1.158, 'epoch': 7.52}
{'loss': 1.2176, 'grad_norm': 2.1405558586120605, 'learning_rate': 0.00018570764882893702, 'epoch': 7.6}
{'loss': 1.2618, 'grad_norm': 1.9581001996994019, 'learning_rate': 0.00018525019630233463, 'epoch': 7.67}
{'loss': 1.2431, 'grad_norm': 2.1118295192718506, 'learning_rate': 0.0001847861198274908, 'epoch': 7.75}
{'loss': 1.2559, 'grad_norm': 1.987623691558838, 'learning_rate': 0.00018431545546319112, 'epoch': 7.82}
{'loss': 1.254, 'grad_norm': 1.971848726272583, 'learning_rate': 0.00018383823978010075, 'epoch': 7.9}
{'loss': 1.2529, 'grad_norm': 2.0665197372436523, 'learning_rate': 0.00018335450985792307, 'epoch': 7.97}
{'loss': 1.1391, 'grad_norm': 1.9887672662734985, 'learning_rate': 0.0001828643032825183, 'epoch': 8.05}
{'loss': 1.1026, 'grad_norm': 2.1100587844848633, 'learning_rate': 0.0001823676581429833, 'epoch': 8.12}
{'loss': 1.0699, 'grad_norm': 2.241306781768799, 'learning_rate': 0.00018186461302869194, 'epoch': 8.2}
{'loss': 1.1215, 'grad_norm': 2.2354044914245605, 'learning_rate': 0.00018135520702629675, 'epoch': 8.27}
{'eval_loss': 16.136491775512695, 'eval_perplexity': 10185664.0, 'eval_runtime': 21.1062, 'eval_samples_per_second': 2.369, 'eval_steps_per_second': 1.184, 'epoch': 8.27}
{'loss': 1.1307, 'grad_norm': 2.3151626586914062, 'learning_rate': 0.0001808394797166919, 'epoch': 8.35}
{'loss': 1.0856, 'grad_norm': 2.3041749000549316, 'learning_rate': 0.0001803174711719376, 'epoch': 8.42}
{'loss': 1.1235, 'grad_norm': 2.148787021636963, 'learning_rate': 0.00017978922195214673, 'epoch': 8.5}
{'loss': 1.1355, 'grad_norm': 2.2093446254730225, 'learning_rate': 0.00017925477310233316, 'epoch': 8.57}
{'loss': 1.143, 'grad_norm': 2.1963675022125244, 'learning_rate': 0.00017871416614922265, 'epoch': 8.65}
{'loss': 1.159, 'grad_norm': 2.2636735439300537, 'learning_rate': 0.00017816744309802603, 'epoch': 8.73}
{'loss': 1.1339, 'grad_norm': 2.1328916549682617, 'learning_rate': 0.0001776146464291757, 'epoch': 8.8}
{'loss': 1.1571, 'grad_norm': 2.3122379779815674, 'learning_rate': 0.00017705581909502457, 'epoch': 8.88}
{'loss': 1.146, 'grad_norm': 2.3282597064971924, 'learning_rate': 0.00017649100451650889, 'epoch': 8.95}
{'loss': 1.0995, 'grad_norm': 2.085566759109497, 'learning_rate': 0.00017592024657977432, 'epoch': 9.02}
{'eval_loss': 16.272565841674805, 'eval_perplexity': 11670395.0, 'eval_runtime': 22.0636, 'eval_samples_per_second': 2.266, 'eval_steps_per_second': 1.133, 'epoch': 9.02}
{'loss': 1.0001, 'grad_norm': 2.331599473953247, 'learning_rate': 0.00017534358963276607, 'epoch': 9.1}
{'loss': 0.9685, 'grad_norm': 2.3388736248016357, 'learning_rate': 0.00017476107848178295, 'epoch': 9.17}
{'loss': 0.9789, 'grad_norm': 2.4255239963531494, 'learning_rate': 0.00017417275838799596, 'epoch': 9.25}
{'loss': 0.9947, 'grad_norm': 2.482008218765259, 'learning_rate': 0.00017357867506393154, 'epoch': 9.32}
{'loss': 1.0052, 'grad_norm': 2.45341420173645, 'learning_rate': 0.00017297887466991962, 'epoch': 9.4}
{'loss': 1.0036, 'grad_norm': 2.3377504348754883, 'learning_rate': 0.00017237340381050703, 'epoch': 9.48}
{'loss': 1.0087, 'grad_norm': 2.5064260959625244, 'learning_rate': 0.00017176230953083626, 'epoch': 9.55}
{'loss': 1.0582, 'grad_norm': 2.515594959259033, 'learning_rate': 0.00017114563931299018, 'epoch': 9.63}
{'loss': 1.0226, 'grad_norm': 2.623656988143921, 'learning_rate': 0.00017052344107230241, 'epoch': 9.7}
{'loss': 1.0398, 'grad_norm': 2.378232479095459, 'learning_rate': 0.00016989576315363465, 'epoch': 9.78}
{'eval_loss': 16.522912979125977, 'eval_perplexity': 14990286.0, 'eval_runtime': 20.947, 'eval_samples_per_second': 2.387, 'eval_steps_per_second': 1.193, 'epoch': 9.78}
{'loss': 1.0422, 'grad_norm': 2.4620182514190674, 'learning_rate': 0.0001692626543276199, 'epoch': 9.85}
{'loss': 1.0428, 'grad_norm': 2.385449171066284, 'learning_rate': 0.0001686241637868734, 'epoch': 9.93}
{'loss': 1.0378, 'grad_norm': 4.138897895812988, 'learning_rate': 0.00016798034114216983, 'epoch': 10.0}
{'loss': 0.8743, 'grad_norm': 2.6258251667022705, 'learning_rate': 0.00016733123641858913, 'epoch': 10.08}
{'loss': 0.8799, 'grad_norm': 2.6176204681396484, 'learning_rate': 0.00016667690005162916, 'epoch': 10.15}
{'loss': 0.8922, 'grad_norm': 2.611130952835083, 'learning_rate': 0.00016601738288328692, 'epoch': 10.23}
{'loss': 0.8872, 'grad_norm': 2.772217035293579, 'learning_rate': 0.00016535273615810817, 'epoch': 10.3}
{'loss': 0.9026, 'grad_norm': 2.6529548168182373, 'learning_rate': 0.00016468301151920575, 'epoch': 10.38}
{'loss': 0.9014, 'grad_norm': 2.657611131668091, 'learning_rate': 0.00016400826100424688, 'epoch': 10.45}
{'loss': 0.9257, 'grad_norm': 2.8394062519073486, 'learning_rate': 0.0001633285370414098, 'epoch': 10.53}
{'eval_loss': 16.89583396911621, 'eval_perplexity': 21765440.0, 'eval_runtime': 21.3387, 'eval_samples_per_second': 2.343, 'eval_steps_per_second': 1.172, 'epoch': 10.53}
{'loss': 0.9094, 'grad_norm': 2.6391234397888184, 'learning_rate': 0.00016264389244531014, 'epoch': 10.6}
{'loss': 0.9426, 'grad_norm': 2.7251596450805664, 'learning_rate': 0.0001619543804128971, 'epoch': 10.68}
{'loss': 0.926, 'grad_norm': 2.6826484203338623, 'learning_rate': 0.0001612600545193203, 'epoch': 10.76}
{'loss': 0.9322, 'grad_norm': 2.6760330200195312, 'learning_rate': 0.00016056096871376667, 'epoch': 10.83}
{'loss': 0.9309, 'grad_norm': 2.6685519218444824, 'learning_rate': 0.00015985717731526887, 'epoch': 10.91}
{'loss': 0.9332, 'grad_norm': 2.5817606449127197, 'learning_rate': 0.00015914873500848446, 'epoch': 10.98}
{'loss': 0.8211, 'grad_norm': 2.5588538646698, 'learning_rate': 0.0001584356968394471, 'epoch': 11.05}
{'loss': 0.7731, 'grad_norm': 2.774805784225464, 'learning_rate': 0.00015771811821128933, 'epoch': 11.13}
{'loss': 0.7731, 'grad_norm': 2.8281497955322266, 'learning_rate': 0.0001569960548799378, 'epoch': 11.2}
{'loss': 0.7899, 'grad_norm': 2.792792320251465, 'learning_rate': 0.00015626956294978103, 'epoch': 11.28}
{'eval_loss': 17.377288818359375, 'eval_perplexity': 35225784.0, 'eval_runtime': 21.1556, 'eval_samples_per_second': 2.363, 'eval_steps_per_second': 1.182, 'epoch': 11.28}
{'loss': 0.8079, 'grad_norm': 2.8058042526245117, 'learning_rate': 0.00015553869886931007, 'epoch': 11.36}
{'loss': 0.8064, 'grad_norm': 2.870722770690918, 'learning_rate': 0.00015480351942673246, 'epoch': 11.43}
{'loss': 0.8335, 'grad_norm': 2.8978469371795654, 'learning_rate': 0.00015406408174555976, 'epoch': 11.51}
{'loss': 0.8168, 'grad_norm': 3.0476717948913574, 'learning_rate': 0.00015332044328016914, 'epoch': 11.58}
{'loss': 0.8165, 'grad_norm': 2.70918607711792, 'learning_rate': 0.00015257266181133898, 'epoch': 11.66}
{'loss': 0.8444, 'grad_norm': 2.916414499282837, 'learning_rate': 0.00015182079544175955, 'epoch': 11.73}
{'loss': 0.84, 'grad_norm': 2.944601058959961, 'learning_rate': 0.0001510649025915182, 'epoch': 11.81}
{'loss': 0.8488, 'grad_norm': 2.8674323558807373, 'learning_rate': 0.0001503050419935602, 'epoch': 11.88}
{'loss': 0.8416, 'grad_norm': 2.980053424835205, 'learning_rate': 0.00014954127268912526, 'epoch': 11.96}
{'loss': 0.7937, 'grad_norm': 2.7447550296783447, 'learning_rate': 0.00014877365402315987, 'epoch': 12.03}
{'eval_loss': 17.463199615478516, 'eval_perplexity': 38385856.0, 'eval_runtime': 21.2641, 'eval_samples_per_second': 2.351, 'eval_steps_per_second': 1.176, 'epoch': 12.03}
{'loss': 0.7003, 'grad_norm': 2.924673557281494, 'learning_rate': 0.0001480022456397063, 'epoch': 12.11}
{'loss': 0.6963, 'grad_norm': 3.139103889465332, 'learning_rate': 0.0001472271074772683, 'epoch': 12.18}
{'loss': 0.7062, 'grad_norm': 2.879657030105591, 'learning_rate': 0.00014644829976415366, 'epoch': 12.26}
{'loss': 0.717, 'grad_norm': 2.8534646034240723, 'learning_rate': 0.0001456658830137947, 'epoch': 12.33}
{'loss': 0.7118, 'grad_norm': 2.918935537338257, 'learning_rate': 0.00014487991802004623, 'epoch': 12.41}
{'loss': 0.7355, 'grad_norm': 2.835782527923584, 'learning_rate': 0.00014409046585246192, 'epoch': 12.48}
{'loss': 0.7213, 'grad_norm': 2.8041412830352783, 'learning_rate': 0.0001432975878515492, 'epoch': 12.56}
{'loss': 0.7262, 'grad_norm': 2.765317440032959, 'learning_rate': 0.000142501345624003, 'epoch': 12.63}
{'loss': 0.7418, 'grad_norm': 3.113581657409668, 'learning_rate': 0.00014170180103791906, 'epoch': 12.71}
{'loss': 0.7513, 'grad_norm': 2.868793487548828, 'learning_rate': 0.0001408990162179866, 'epoch': 12.79}
{'eval_loss': 17.492502212524414, 'eval_perplexity': 39527304.0, 'eval_runtime': 21.1552, 'eval_samples_per_second': 2.363, 'eval_steps_per_second': 1.182, 'epoch': 12.79}
{'loss': 0.7549, 'grad_norm': 3.151947021484375, 'learning_rate': 0.00014009305354066137, 'epoch': 12.86}
{'loss': 0.7695, 'grad_norm': 3.1313674449920654, 'learning_rate': 0.00013928397562931895, 'epoch': 12.94}
{'loss': 0.7479, 'grad_norm': 2.6238391399383545, 'learning_rate': 0.0001384718453493888, 'epoch': 13.01}
{'loss': 0.5983, 'grad_norm': 2.683997631072998, 'learning_rate': 0.00013765672580346987, 'epoch': 13.08}
{'loss': 0.6321, 'grad_norm': 3.0450050830841064, 'learning_rate': 0.0001368386803264272, 'epoch': 13.16}
{'loss': 0.6227, 'grad_norm': 3.387112617492676, 'learning_rate': 0.00013601777248047105, 'epoch': 13.23}
{'loss': 0.6364, 'grad_norm': 2.9817769527435303, 'learning_rate': 0.00013519406605021797, 'epoch': 13.31}
{'loss': 0.6446, 'grad_norm': 2.804859161376953, 'learning_rate': 0.00013436762503773471, 'epoch': 13.39}
{'loss': 0.6431, 'grad_norm': 3.191602945327759, 'learning_rate': 0.00013353851365756548, 'epoch': 13.46}
{'loss': 0.6662, 'grad_norm': 3.649190902709961, 'learning_rate': 0.00013270679633174218, 'epoch': 13.54}
{'eval_loss': 17.85289192199707, 'eval_perplexity': 56677728.0, 'eval_runtime': 21.1269, 'eval_samples_per_second': 2.367, 'eval_steps_per_second': 1.183, 'epoch': 13.54}
{'loss': 0.6739, 'grad_norm': 3.009504556655884, 'learning_rate': 0.00013187253768477894, 'epoch': 13.61}
{'loss': 0.6619, 'grad_norm': 3.0156760215759277, 'learning_rate': 0.00013103580253865087, 'epoch': 13.69}
{'loss': 0.6694, 'grad_norm': 2.9180514812469482, 'learning_rate': 0.00013019665590775716, 'epoch': 13.76}
{'loss': 0.6586, 'grad_norm': 2.9768991470336914, 'learning_rate': 0.00012935516299386973, 'epoch': 13.84}
{'loss': 0.6927, 'grad_norm': 3.079853057861328, 'learning_rate': 0.0001285113891810668, 'epoch': 13.91}
{'loss': 0.6758, 'grad_norm': 3.0957765579223633, 'learning_rate': 0.0001276654000306527, 'epoch': 13.99}
{'loss': 0.5729, 'grad_norm': 2.869272470474243, 'learning_rate': 0.00012681726127606376, 'epoch': 14.06}
{'loss': 0.551, 'grad_norm': 2.904161214828491, 'learning_rate': 0.0001259670388177606, 'epoch': 14.14}
{'loss': 0.5677, 'grad_norm': 2.6944453716278076, 'learning_rate': 0.0001251147987181079, 'epoch': 14.21}
{'loss': 0.5515, 'grad_norm': 2.9457640647888184, 'learning_rate': 0.00012426060719624137, 'epoch': 14.29}
{'eval_loss': 18.0418758392334, 'eval_perplexity': 68467920.0, 'eval_runtime': 20.9097, 'eval_samples_per_second': 2.391, 'eval_steps_per_second': 1.196, 'epoch': 14.29}
{'loss': 0.5662, 'grad_norm': 3.257413387298584, 'learning_rate': 0.0001234045306229222, 'epoch': 14.36}
{'loss': 0.5761, 'grad_norm': 3.1991424560546875, 'learning_rate': 0.00012254663551538046, 'epoch': 14.44}
{'loss': 0.5903, 'grad_norm': 2.963386058807373, 'learning_rate': 0.00012168698853214629, 'epoch': 14.51}
{'loss': 0.5871, 'grad_norm': 3.0313403606414795, 'learning_rate': 0.00012082565646787092, 'epoch': 14.59}
{'loss': 0.5853, 'grad_norm': 2.9727020263671875, 'learning_rate': 0.00011996270624813642, 'epoch': 14.66}
{'loss': 0.5952, 'grad_norm': 3.147818088531494, 'learning_rate': 0.00011909820492425574, 'epoch': 14.74}
{'loss': 0.5841, 'grad_norm': 3.0386760234832764, 'learning_rate': 0.00011823221966806277, 'epoch': 14.82}
{'loss': 0.6184, 'grad_norm': 3.345691680908203, 'learning_rate': 0.00011736481776669306, 'epoch': 14.89}
{'loss': 0.5984, 'grad_norm': 3.2637338638305664, 'learning_rate': 0.00011649606661735561, 'epoch': 14.97}
{'loss': 0.5615, 'grad_norm': 2.850309133529663, 'learning_rate': 0.00011562603372209615, 'epoch': 15.04}
